Accession,GWAS_ID,Reference,Year,Orientation,Origin,Continent,Country,Region,Azithromycin,Ceftriaxone,Ciprofloxacin,MtrA,MtrC,FarA,Mtr_Upregulation
SRR1661153,SRR1661153,Demczuk2015,1994.0,,,North America,Canada,Quebec,0.5,0.125,0.016,Inducible,Intact,Intact,Yes
SRR1661154,SRR1661154,Demczuk2015,1996.0,,Urethra,North America,Canada,Alberta,0.25,0.125,0.5,Inducible,Intact,Intact,Yes
SRR1661155,SRR1661155,Demczuk2015,1998.0,,,North America,Canada,Ontario,1,0.25,0.016,Inducible,Intact,Intact,Yes
SRR1661156,SRR1661156,Demczuk2015,1997.0,,Urethra,North America,Canada,Ontario,0.25,0.125,16,Inducible,Intact,Intact,Yes
SRR1661157,SRR1661157,Demczuk2015,1998.0,,Urethra,North America,Canada,Ontario,0.125,0.125,0.016,Inducible,Intact,Intact,
SRR1661158,SRR1661158,Demczuk2015,2000.0,,,North America,Canada,Quebec,0.25,0.125,0.5,Inducible,Intact,Intact,Yes
SRR1661159,SRR1661159,Demczuk2015,2001.0,,Cervix,North America,Canada,Ontario,0.063,0.00025,0.063,Inducible,Intact,LOF,No
SRR1661161,SRR1661161,Demczuk2015,2001.0,,Urethra,North America,Canada,Ontario,0.5,0.125,16,Inducible,Intact,Intact,Yes
SRR1661162,SRR1661162,Demczuk2015,2001.0,,,North America,Canada,Quebec,0.063,0.004,0.004,LOF,Intact,Intact,No
SRR1661163,SRR1661163,Demczuk2015,2001.0,,,North America,Canada,Quebec,0.5,0.125,0.032,Inducible,Intact,Intact,Yes
SRR1661164,SRR1661164,Demczuk2015,2001.0,,,North America,Canada,Quebec,0.5,0.125,64,Inducible,Intact,Intact,Yes
SRR1661165,SRR1661165,Demczuk2015,2001.0,,,North America,Canada,Quebec,0.25,0.125,0.25,Inducible,Intact,Intact,Yes
SRR1661166,SRR1661166,Demczuk2015,2001.0,,Urethra,North America,Canada,Ontario,0.5,0.125,16,Inducible,Intact,Intact,Yes
SRR1661167,SRR1661167,Demczuk2015,2002.0,,,North America,Canada,Quebec,2,0.125,0.032,Inducible,Intact,Intact,Yes
SRR1661169,SRR1661169,Demczuk2015,2004.0,,Urethra,North America,Canada,British Columbia,0.063,0.002,0.004,Inducible,Intact,Intact,No
SRR1661171,SRR1661171,Demczuk2015,2005.0,,Cervix,North America,Canada,New Brunswick,0.063,0.002,0.004,LOF,Intact,Intact,No
SRR1661172,SRR1661172,Demczuk2015,2005.0,,Urethra,North America,Canada,Manitoba,0.125,0.004,0.008,LOF,Intact,Intact,No
SRR1661173,SRR1661173,Demczuk2015,2006.0,,Urethra,North America,Canada,British Columbia,0.5,0.032,32,Inducible,Intact,Intact,Yes
SRR1661174,SRR1661174,Demczuk2015,2005.0,,,North America,Canada,Quebec,0.063,0.032,8,Inducible,LOF,Intact,Yes
SRR1661177,SRR1661177,Demczuk2015,2005.0,,,North America,Canada,Ontario,0.25,0.001,0.016,Inducible,Intact,Intact,Yes
SRR1661179,SRR1661179,Demczuk2015,2006.0,,Urethra,North America,Canada,Ontario,0.25,0.125,1,Inducible,Intact,Intact,Yes
SRR1661180,SRR1661180,Demczuk2015,2006.0,,Cervix,North America,Canada,Saskatchewan,0.032,0.002,0.004,LOF,Intact,LOF,No
SRR1661181,SRR1661181,Demczuk2015,2006.0,,Urethra,North America,Canada,British Columbia,0.125,0.125,2,Inducible,Intact,Intact,Yes
SRR1661182,SRR1661182,Demczuk2015,2006.0,,Urethra,North America,Canada,British Columbia,0.125,0.125,2,Inducible,Intact,Intact,Yes
SRR1661183,SRR1661183,Demczuk2015,2006.0,,,North America,Canada,Quebec,1,0.032,16,Inducible,Intact,Intact,Yes
SRR1661184,SRR1661184,Demczuk2015,2006.0,,,North America,Canada,Ontario,0.5,0.032,4,Inducible,Intact,Intact,Yes
SRR1661185,SRR1661185,Demczuk2015,2006.0,,,North America,Canada,Ontario,0.25,0.125,16,Inducible,Intact,Intact,Yes
SRR1661187,SRR1661187,Demczuk2015,2006.0,,,North America,Canada,Saskatchewan,0.25,0.063,8,Inducible,Intact,Intact,Yes
SRR1661190,SRR1661190,Demczuk2015,2007.0,,Cervix,North America,Canada,British Columbia,0.25,0.125,16,Inducible,Intact,Intact,Yes
SRR1661191,SRR1661191,Demczuk2015,2006.0,,,North America,Canada,Quebec,0.25,0.125,16,Inducible,Intact,Intact,Yes
SRR1661192,SRR1661192,Demczuk2015,2006.0,,,North America,Canada,Quebec,0.25,0.125,32,Inducible,Intact,Intact,Yes
SRR1661193,SRR1661193,Demczuk2015,2007.0,,,North America,Canada,Ontario,0.032,0.125,4,Inducible,LOF,Intact,Yes
SRR1661194,SRR1661194,Demczuk2015,2007.0,,,North America,Canada,Ontario,0.25,0.125,0.016,Inducible,Intact,Intact,Yes
SRR1661195,SRR1661195,Demczuk2015,2007.0,,,North America,Canada,Ontario,0.25,0.125,64,Inducible,Intact,LOF,No
SRR1661199,SRR1661199,Demczuk2015,2008.0,,,North America,Canada,Ontario,0.5,0.063,4,Inducible,Intact,Intact,Yes
SRR1661200,SRR1661200,Demczuk2015,2008.0,,,North America,Canada,Ontario,0.5,0.032,16,Inducible,Intact,Intact,Yes
SRR1661201,SRR1661201,Demczuk2015,2008.0,,,North America,Canada,Ontario,0.5,0.125,16,Inducible,Intact,Intact,Yes
SRR1661202,SRR1661202,Demczuk2015,2008.0,,,North America,Canada,Ontario,0.5,0.032,16,Inducible,Intact,Intact,Yes
SRR1661203,SRR1661203,Demczuk2015,2008.0,,,North America,Canada,Ontario,0.5,0.063,16,Inducible,Intact,Intact,Yes
SRR1661206,SRR1661206,Demczuk2015,2008.0,,,North America,Canada,Ontario,0.5,0.125,16,Inducible,Intact,Intact,Yes
SRR1661209,SRR1661209,Demczuk2015,2009.0,,Cervix,North America,Canada,British Columbia,16,0.063,16,Inducible,Intact,Intact,Yes
SRR1661210,SRR1661210,Demczuk2015,2009.0,,Pharynx,North America,Canada,British Columbia,0.5,0.125,16,Inducible,Intact,Intact,Yes
SRR1661211,SRR1661211,Demczuk2015,2009.0,,,North America,Canada,Quebec,0.5,0.016,0.004,Inducible,Intact,Intact,Yes
SRR1661214,SRR1661214,Demczuk2015,2009.0,,,North America,Canada,Ontario,0.25,0.032,16,Inducible,Intact,Intact,Yes
SRR1661215,SRR1661215,Demczuk2015,2009.0,,,North America,Canada,Ontario,0.25,0.063,8,Inducible,Intact,Intact,Yes
SRR1661218,SRR1661218,Demczuk2015,2010.0,,Pharynx,North America,Canada,British Columbia,0.25,0.008,0.125,Inducible,Intact,Intact,Yes
SRR1661224,SRR1661224,Demczuk2015,2009.0,,,North America,Canada,Ontario,0.125,0.008,0.008,LOF,Intact,Intact,No
SRR1661225,SRR1661225,Demczuk2015,2010.0,,,North America,Canada,Ontario,0.125,0.004,0.004,LOF,Intact,Intact,No
SRR1661226,SRR1661226,Demczuk2015,2010.0,,,North America,Canada,Ontario,0.25,0.032,8,Inducible,Intact,Intact,Yes
SRR1661228,SRR1661228,Demczuk2015,2010.0,,,North America,Canada,Ontario,0.5,0.032,4,Inducible,Intact,Intact,Yes
SRR1661230,SRR1661230,Demczuk2015,2010.0,,,North America,Canada,Ontario,0.25,0.125,16,Inducible,Intact,Intact,Yes
SRR1661231,SRR1661231,Demczuk2015,2010.0,,,North America,Canada,Ontario,0.5,0.063,16,Inducible,Intact,Intact,Yes
SRR1661233,SRR1661233,Demczuk2015,2010.0,,Urethra,North America,Canada,British Columbia,0.5,0.125,16,Inducible,Intact,Intact,Yes
SRR1661234,SRR1661234,Demczuk2015,2010.0,,,North America,Canada,Nova Scotia,0.125,0.004,0.004,Inducible,Intact,Intact,Yes
SRR1661235,SRR1661235,Demczuk2015,2010.0,,,North America,Canada,Nova Scotia,0.125,0.002,0.004,Inducible,Intact,Intact,Yes
SRR1661236,SRR1661236,Demczuk2015,2010.0,,,North America,Canada,Nova Scotia,0.063,0.002,0.002,LOF,Intact,Intact,No
SRR1661237,SRR1661237,Demczuk2015,2010.0,,,North America,Canada,Nova Scotia,0.125,0.004,0.004,Inducible,Intact,Intact,Yes
SRR1661238,SRR1661238,Demczuk2015,2010.0,,,North America,Canada,Nova Scotia,0.125,0.002,0.004,Inducible,Intact,Intact,Yes
SRR1661239,SRR1661239,Demczuk2015,2010.0,,,North America,Canada,Nova Scotia,0.125,0.004,0.004,Inducible,Intact,Intact,Yes
SRR1661240,SRR1661240,Demczuk2015,2010.0,,,North America,Canada,Nova Scotia,0.125,0.004,0.004,Inducible,Intact,Intact,Yes
SRR1661241,SRR1661241,Demczuk2015,2011.0,,Urethra,North America,Canada,New Brunswick,0.125,0.004,0.004,Inducible,Intact,Intact,Yes
SRR1661243,SRR1661243,Demczuk2015,2010.0,,,North America,Canada,Ontario,1,0.063,16,Inducible,Intact,Intact,Yes
SRR1661248,SRR1661248,Demczuk2015,2010.0,,,North America,Canada,Ontario,0.5,0.125,16,Inducible,Intact,Intact,Yes
SRR1661250,SRR1661250,Demczuk2015,2010.0,,,North America,Canada,Ontario,1,0.063,16,Inducible,Intact,Intact,Yes
SRR1661252,SRR1661252,Demczuk2015,2010.0,,,North America,Canada,Ontario,0.5,0.25,16,Inducible,Intact,Intact,Yes
SRR1661254,SRR1661254,Demczuk2015,2011.0,,,North America,Canada,Ontario,0.25,0.063,4,Inducible,Intact,Intact,Yes
SRR1661255,SRR1661255,Demczuk2015,2011.0,,Cervix,North America,Canada,Saskatchewan,0.032,0.002,0.004,Inducible,LOF,LOF,Yes
SRR1661256,SRR1661256,Demczuk2015,2011.0,,Urethra,North America,Canada,Saskatchewan,0.032,0.002,0.002,Inducible,LOF,LOF,Yes
SRR1661258,SRR1661258,Demczuk2015,2010.0,,,North America,Canada,Quebec,0.5,0.032,16,Inducible,Intact,Intact,Yes
SRR1661259,SRR1661259,Demczuk2015,2010.0,,,North America,Canada,Quebec,0.5,0.125,16,Inducible,Intact,Intact,Yes
SRR1661260,SRR1661260,Demczuk2015,2010.0,,,North America,Canada,Quebec,0.125,0.0005,0.002,LOF,Intact,LOF,No
SRR1661261,SRR1661261,Demczuk2015,2010.0,,,North America,Canada,Quebec,0.25,0.008,0.004,Inducible,Intact,Intact,Yes
SRR1661262,SRR1661262,Demczuk2015,2010.0,,,North America,Canada,Quebec,1,0.008,16,Inducible,Intact,Intact,Yes
SRR1661263,SRR1661263,Demczuk2015,2010.0,,,North America,Canada,Quebec,0.125,0.004,0.004,Inducible,Intact,Intact,Yes
SRR1661264,SRR1661264,Demczuk2015,2010.0,,,North America,Canada,Quebec,0.125,0.0005,0.004,Inducible,Intact,LOF,No
SRR1661265,SRR1661265,Demczuk2015,2010.0,,,North America,Canada,Quebec,1,0.016,4,Inducible,Intact,Intact,Yes
SRR1661266,SRR1661266,Demczuk2015,2011.0,,Urethra,North America,Canada,New Brunswick,0.125,0.004,0.004,LOF,Intact,LOF,No
SRR1661267,SRR1661267,Demczuk2015,2011.0,,Cervix,North America,Canada,New Brunswick,0.063,0.004,0.004,LOF,Intact,LOF,No
SRR1661268,SRR1661268,Demczuk2015,2011.0,,,North America,Canada,Ontario,0.5,0.063,4,Inducible,Intact,Intact,Yes
SRR1661269,SRR1661269,Demczuk2015,2011.0,,,North America,Canada,Ontario,0.25,0.063,4,Inducible,Intact,Intact,Yes
SRR1661270,SRR1661270,Demczuk2015,2011.0,,,North America,Canada,Ontario,0.5,0.125,16,Inducible,Intact,Intact,Yes
SRR1661271,SRR1661271,Demczuk2015,2011.0,,,North America,Canada,Ontario,0.5,0.125,16,Inducible,Intact,Intact,Yes
SRR1661272,SRR1661272,Demczuk2015,2011.0,,,North America,Canada,Ontario,0.5,0.125,4,Inducible,Intact,Intact,Yes
SRR1661274,SRR1661274,Demczuk2015,2011.0,,,North America,Canada,Ontario,0.063,0.032,4,Inducible,LOF,Intact,Yes
SRR1661275,SRR1661275,Demczuk2015,2011.0,,Urethra,North America,Canada,Saskatchewan,0.125,0.001,0.004,Inducible,Intact,Intact,No
SRR1661280,SRR1661280,Demczuk2015,2011.0,,,North America,Canada,Quebec,0.032,0.008,4,Inducible,Intact,Intact,Yes
SRR1661281,SRR1661281,Demczuk2015,2011.0,,,North America,Canada,Quebec,1,0.016,0.004,Inducible,Intact,Intact,Yes
SRR1661282,SRR1661282,Demczuk2015,2011.0,,,North America,Canada,Quebec,0.25,0.004,0.004,Inducible,Intact,LOF,Yes
SRR1661283,SRR1661283,Demczuk2015,2011.0,,,North America,Canada,Quebec,0.25,0.032,8,Inducible,Intact,Intact,Yes
SRR1661285,SRR1661285,Demczuk2015,2012.0,,Urethra,North America,Canada,Saskatchewan,0.032,0.002,0.002,Inducible,LOF,LOF,Yes
SRR1661286,SRR1661286,Demczuk2015,2011.0,,Urethra,North America,Canada,Nova Scotia,0.125,0.002,0.004,Inducible,Intact,Intact,Yes
SRR1661287,SRR1661287,Demczuk2015,2011.0,,Urethra,North America,Canada,Nova Scotia,0.125,0.002,0.008,Inducible,Intact,Intact,Yes
SRR1661288,SRR1661288,Demczuk2015,2011.0,,Cervix,North America,Canada,Nova Scotia,0.125,0.004,0.004,Inducible,Intact,Intact,Yes
SRR1661289,SRR1661289,Demczuk2015,2011.0,,Cervix,North America,Canada,Nova Scotia,0.125,0.001,0.004,Inducible,Intact,LOF,No
SRR1661291,SRR1661291,Demczuk2015,2011.0,,Cervix,North America,Canada,Alberta,0.125,0.004,0.004,LOF,Intact,LOF,No
SRR1661292,SRR1661292,Demczuk2015,2012.0,,,North America,Canada,United Kingdom,0.5,2,16,Inducible,Intact,Intact,Yes
SRR1661293,SRR1661293,Demczuk2015,2011.0,,,North America,Canada,Ontario,0.5,0.063,8,Inducible,Intact,Intact,Yes
SRR1661295,SRR1661295,Demczuk2015,2011.0,,,North America,Canada,Ontario,0.032,0.002,0.004,Inducible,Intact,Intact,Yes
SRR1661298,SRR1661298,Demczuk2015,2012.0,,,North America,Canada,Ontario,0.5,0.063,16,Inducible,Intact,Intact,Yes
SRR1661307,SRR1661307,Demczuk2015,2009.0,,Rectum,North America,Canada,Ontario,0.5,0.063,16,Inducible,Intact,Intact,Yes
SRR1661308,SRR1661308,Demczuk2015,2009.0,,Rectum,North America,Canada,Ontario,0.5,0.063,>=32,Inducible,Intact,Intact,Yes
SRR1661309,SRR1661309,Demczuk2015,2009.0,,Rectum,North America,Canada,Ontario,0.25,0.125,>=32,Inducible,Intact,Intact,Yes
SRR1661310,SRR1661310,Demczuk2015,2009.0,,Urethra,North America,Canada,Ontario,0.5,<=0.032,32,Inducible,Intact,Intact,Yes
SRR1661312,SRR1661312,Demczuk2015,2010.0,,Rectum,North America,Canada,Ontario,0.25,0.032,0.016,Inducible,Intact,Intact,Yes
SRR1661313,SRR1661313,Demczuk2015,2010.0,,Pharynx,North America,Canada,Ontario,0.25,0.032,0.004,Inducible,Intact,Intact,Yes
SRR1661314,SRR1661314,Demczuk2015,2011.0,,Pharynx,North America,Canada,Ontario,0.125,0.008,0.004,LOF,Intact,Intact,No
SRR1661315,SRR1661315,Demczuk2015,2012.0,,Pharynx,North America,Canada,Ontario,8,0.125,16,Inducible,Intact,Intact,Yes
SRR1661316,SRR1661316,Demczuk2015,2012.0,,Urethra,North America,Canada,Ontario,0.25,0.002,0.004,Inducible,Intact,Intact,Yes
SRR1661317,SRR1661317,Demczuk2015,2012.0,,Other,North America,Canada,Saskatchewan,0.032,0.004,0.002,Inducible,LOF,Intact,Yes
SRR1661318,SRR1661318,Demczuk2015,2012.0,,Urethra,North America,Canada,Saskatchewan,<=0.008,0.002,0.004,Inducible,LOF,Intact,Yes
SRR1661319,SRR1661319,Demczuk2015,2012.0,,,North America,Canada,Quebec,0.125,0.001,0.004,Inducible,Intact,LOF,No
SRR1661320,SRR1661320,Demczuk2015,2013.0,,,North America,Canada,Saskatchewan,0.063,0.004,0.002,Inducible,LOF,Intact,Yes
SRR1661321,SRR1661321,Demczuk2015,2012.0,,,North America,Canada,Quebec,0.125,0.004,0.004,LOF,Intact,LOF,No
SRR1661322,SRR1661322,Demczuk2015,1989.0,,Urethra,North America,Canada,Saskatchewan,0.5,0.125,0.032,Inducible,Intact,Intact,Yes
SRR1661324,SRR1661324,Demczuk2016,1991.0,,,,Canada,,0.12,<0.002,,Inducible,Intact,Intact,No
SRR1661325,SRR1661325,Demczuk2016,1997.0,,,,Thailand,,0.25,0.008,,Inducible,Intact,Intact,Yes
SRR1661326,SRR1661326,Demczuk2016,2003.0,,,Asia,Japan,,0.25,0.064,,Inducible,Intact,Intact,Yes
SRR1661327,SRR1661327,Demczuk2016,1996.0,,,Asia,,,0.5,0.125,,Inducible,Intact,Intact,Yes
SRR1661328,SRR1661328,Demczuk2016,1992.0,,,,Philippines,,0.25,0.012,,Inducible,Intact,Intact,Yes
SRR1661329,SRR1661329,Demczuk2016,2001.0,,,,Australia,,0.12,0.004,,Inducible,Intact,Intact,Yes
SRR1661330,SRR1661330,Demczuk2016,1991.0,,,,Canada,,0.25,0.032,,Inducible,Intact,Intact,Yes
SRR1661331,SRR1661331,Demczuk2016,,,,,USA,,2,0.004,,Inducible,Intact,Intact,Yes
SRR2736093,SRR2736093,Demczuk2016,1998.0,,Urethra,North America,Canada,British Columbia,2,0.004,,Inducible,Intact,Intact,Yes
SRR2736094,SRR2736094,Demczuk2016,1998.0,,Urethra,North America,Canada,British Columbia,2,0.016,,Inducible,Intact,Intact,Yes
SRR2736095,SRR2736095,Demczuk2016,1998.0,,,North America,Canada,Ontario,2,0.016,,Inducible,Intact,Intact,Yes
SRR2736096,SRR2736096,Demczuk2016,1998.0,,,North America,Canada,Alberta,2,0.063,,Inducible,Intact,Intact,Yes
SRR2736097,SRR2736097,Demczuk2016,1997.0,,Urethra,North America,Canada,Quebec,2,0.063,,Inducible,Intact,Intact,Yes
SRR2736098,SRR2736098,Demczuk2016,1997.0,,Urethra,North America,Canada,Quebec,2,0.032,,Inducible,Intact,Intact,Yes
SRR2736099,SRR2736099,Demczuk2016,1997.0,,Rectum,North America,Canada,Quebec,2,0.032,,Inducible,Intact,Intact,Yes
SRR2736100,SRR2736100,Demczuk2016,1997.0,,Urethra,North America,Canada,Quebec,2,0.032,,Inducible,Intact,Intact,Yes
SRR2736101,SRR2736101,Demczuk2016,1997.0,,Urethra,North America,Canada,Quebec,2,0.032,,Inducible,Intact,Intact,Yes
SRR2736102,SRR2736102,Demczuk2016,1997.0,,Urethra,North America,Canada,Quebec,2,0.063,,Inducible,Intact,Intact,Yes
SRR2736103,SRR2736103,Demczuk2016,1997.0,,Pharynx,North America,Canada,Quebec,2,0.032,,Inducible,Intact,Intact,Yes
SRR2736104,SRR2736104,Demczuk2016,1998.0,,Urethra,North America,Canada,British Columbia,2,0.032,,Inducible,Intact,Intact,Yes
SRR2736105,SRR2736105,Demczuk2016,1998.0,,Urethra,North America,Canada,British Columbia,2,0.032,,Inducible,Intact,Intact,Yes
SRR2736106,SRR2736106,Demczuk2016,1998.0,,Urethra,North America,Canada,British Columbia,2,0.063,,Inducible,Intact,Intact,Yes
SRR2736107,SRR2736107,Demczuk2016,1998.0,,Urethra,North America,Canada,British Columbia,2,0.008,,Inducible,Intact,Intact,Yes
SRR2736108,SRR2736108,Demczuk2016,1999.0,,Urethra,North America,Canada,British Columbia,2,0.016,,Inducible,Intact,Intact,Yes
SRR2736109,SRR2736109,Demczuk2016,1999.0,,Urethra,North America,Canada,British Columbia,2,0.008,,Inducible,Intact,Intact,Yes
SRR2736110,SRR2736110,Demczuk2016,1998.0,,,North America,Canada,Nova Scotia,4,0.008,,Inducible,Intact,Intact,Yes
SRR2736111,SRR2736111,Demczuk2016,1998.0,,,North America,Canada,Nova Scotia,4,0.008,,Inducible,Intact,Intact,Yes
SRR2736112,SRR2736112,Demczuk2016,1999.0,,Urethra,North America,Canada,British Columbia,2,0.016,,Inducible,Intact,Intact,Yes
SRR2736113,SRR2736113,Demczuk2016,1999.0,,Urethra,North America,Canada,British Columbia,2,0.008,,Inducible,Intact,Intact,Yes
SRR2736114,SRR2736114,Demczuk2016,1999.0,,Urethra,North America,Canada,British Columbia,2,0.008,,Inducible,Intact,Intact,Yes
SRR2736115,SRR2736115,Demczuk2016,1999.0,,Urethra,North America,Canada,British Columbia,2,0.008,,Inducible,Intact,Intact,Yes
SRR2736116,SRR2736116,Demczuk2016,2000.0,,Cervix,North America,Canada,British Columbia,2,0.016,,Inducible,Intact,Intact,Yes
SRR2736117,SRR2736117,Demczuk2016,2000.0,,Urethra,North America,Canada,Ontario,2,0.016,,Inducible,Intact,Intact,Yes
SRR2736118,SRR2736118,Demczuk2016,1999.0,,Urethra,North America,Canada,Quebec,1,0.016,,Inducible,Intact,Intact,Yes
SRR2736119,SRR2736119,Demczuk2016,1999.0,,Urethra,North America,Canada,Quebec,2,0.032,,Inducible,Intact,Intact,Yes
SRR2736120,SRR2736120,Demczuk2016,2000.0,,Rectum,North America,Canada,Ontario,2,0.016,,Inducible,Intact,Intact,Yes
SRR2736121,SRR2736121,Demczuk2016,2000.0,,Urethra,North America,Canada,Ontario,2,0.016,,Inducible,Intact,Intact,Yes
SRR2736122,SRR2736122,Demczuk2016,2000.0,,Urethra,North America,Canada,Ontario,2,0.016,,Inducible,Intact,Intact,Yes
SRR2736123,SRR2736123,Demczuk2016,2000.0,,Rectum,North America,Canada,Ontario,2,0.016,,Inducible,Intact,Intact,Yes
SRR2736124,SRR2736124,Demczuk2016,2000.0,,Urethra,North America,Canada,Ontario,2,0.016,,Inducible,Intact,Intact,Yes
SRR2736125,SRR2736125,Demczuk2016,2001.0,,Cervix,North America,Canada,British Columbia,2,0.016,,Inducible,Intact,Intact,Yes
SRR2736126,SRR2736126,Demczuk2016,2001.0,,Urethra,North America,Canada,Quebec,2,0.063,,Inducible,Intact,Intact,Yes
SRR2736127,SRR2736127,Demczuk2016,2002.0,,Urethra,North America,Canada,British Columbia,2,0.032,,Inducible,Intact,Intact,Yes
SRR2736128,SRR2736128,Demczuk2016,2002.0,,Rectum,North America,Canada,British Columbia,2,0.063,,Inducible,Intact,Intact,Yes
SRR2736129,SRR2736129,Demczuk2016,2003.0,,Urethra,North America,Canada,British Columbia,8,0.016,,Inducible,Intact,Intact,Yes
SRR2736131,SRR2736131,Demczuk2016,2005.0,,Urethra,North America,Canada,Manitoba,4,0.004,,Inducible,Intact,Intact,Yes
SRR2736135,SRR2736135,Demczuk2016,2005.0,,Pharynx,North America,Canada,British Columbia,2,0.008,,Inducible,Intact,Intact,Yes
SRR2736136,SRR2736136,Demczuk2016,2005.0,,Rectum,North America,Canada,Manitoba,4,0.016,,Inducible,Intact,Intact,Yes
SRR2736137,SRR2736137,Demczuk2016,2005.0,,Cervix,North America,Canada,Manitoba,2,0.008,,Inducible,Intact,Intact,Yes
SRR2736139,SRR2736139,Demczuk2016,2005.0,,Urethra,North America,Canada,Quebec,16,0.032,,Inducible,Intact,Intact,Yes
SRR2736140,SRR2736140,Demczuk2016,2006.0,,Urethra,North America,Canada,British Columbia,4,0.008,,Inducible,Intact,Intact,Yes
SRR2736141,SRR2736141,Demczuk2016,2006.0,,Urethra,North America,Canada,Quebec,8,0.032,,Inducible,Intact,Intact,Yes
SRR2736142,SRR2736142,Demczuk2016,2006.0,,,North America,Canada,Ontario,16,0.008,,Inducible,Intact,Intact,Yes
SRR2736143,SRR2736143,Demczuk2016,2006.0,,Cervix,North America,Canada,Quebec,4,0.032,,Inducible,Intact,Intact,Yes
SRR2736144,SRR2736144,Demczuk2016,2007.0,,Urethra,North America,Canada,British Columbia,8,0.008,,Inducible,Intact,Intact,Yes
SRR2736145,SRR2736145,Demczuk2016,2007.0,,Pharynx,North America,Canada,British Columbia,8,0.004,,Inducible,Intact,Intact,Yes
SRR2736146,SRR2736146,Demczuk2016,2007.0,,,North America,Canada,Ontario,2,0.032,,Inducible,Intact,Intact,Yes
SRR2736147,SRR2736147,Demczuk2016,2007.0,,Urethra,North America,Canada,Quebec,2,0.032,,Inducible,Intact,Intact,Yes
SRR2736149,SRR2736149,Demczuk2016,2007.0,,Urethra,North America,Canada,Quebec,2,0.063,,Inducible,Intact,Intact,Yes
SRR2736150,SRR2736150,Demczuk2016,2007.0,,Rectum,North America,Canada,Quebec,0.5,0.063,,Inducible,Intact,Intact,Yes
SRR2736151,SRR2736151,Demczuk2016,2007.0,,Urethra,North America,Canada,Quebec,2,0.063,,Inducible,Intact,Intact,Yes
SRR2736152,SRR2736152,Demczuk2016,2006.0,,Urethra,North America,Canada,Alberta,8,0.008,,Inducible,Intact,Intact,Yes
SRR2736153,SRR2736153,Demczuk2016,2006.0,,Cervix,North America,Canada,Alberta,8,0.008,,Inducible,Intact,Intact,Yes
SRR2736154,SRR2736154,Demczuk2016,2008.0,,,North America,Canada,Ontario,16,0.063,,Inducible,Intact,Intact,Yes
SRR2736156,SRR2736156,Demczuk2016,2008.0,,,North America,Canada,Ontario,4,0.032,,Inducible,Intact,Intact,Yes
SRR2736157,SRR2736157,Demczuk2016,2008.0,,,North America,Canada,Ontario,32,0.063,,Inducible,Intact,Intact,Yes
SRR2736159,SRR2736159,Demczuk2016,2009.0,,Rectum,North America,Canada,British Columbia,2,0.008,,Inducible,Intact,Intact,Yes
SRR2736160,SRR2736160,Demczuk2016,2009.0,,Rectum,North America,Canada,British Columbia,16,0.063,,Inducible,Intact,Intact,Yes
SRR2736162,SRR2736162,Demczuk2016,2009.0,,Pharynx,North America,Canada,British Columbia,16,0.063,,Inducible,Intact,Intact,Yes
SRR2736163,SRR2736163,Demczuk2016,2009.0,,Rectum,North America,Canada,British Columbia,16,0.063,,Inducible,Intact,Intact,Yes
SRR2736164,SRR2736164,Demczuk2016,2009.0,,,North America,Canada,Ontario,2,0.063,,Inducible,Intact,Intact,Yes
SRR2736167,SRR2736167,Demczuk2016,2010.0,,,North America,Canada,Ontario,2,0.063,,Inducible,Intact,Intact,Yes
SRR2736170,SRR2736170,Demczuk2016,2010.0,,Pharynx,North America,Canada,Alberta,4,0.008,,LOF,Intact,Intact,No
SRR2736171,SRR2736171,Demczuk2016,2010.0,,Urethra,North America,Canada,Alberta,4,0.008,,LOF,Intact,Intact,No
SRR2736172,SRR2736172,Demczuk2016,2010.0,,Urethra,North America,Canada,Alberta,2,0.008,,LOF,Intact,Intact,No
SRR2736173,SRR2736173,Demczuk2016,2010.0,,Cervix,North America,Canada,Alberta,4,0.008,,LOF,Intact,Intact,No
SRR2736174,SRR2736174,Demczuk2016,2010.0,,Other,North America,Canada,Alberta,4,0.008,,LOF,Intact,Intact,No
SRR2736175,SRR2736175,Demczuk2016,2010.0,,,North America,Canada,Ontario,2,0.063,,Inducible,Intact,Intact,Yes
SRR2736179,SRR2736179,Demczuk2016,2010.0,,Urethra,North America,Canada,Alberta,4,0.004,,LOF,Intact,Intact,No
SRR2736180,SRR2736180,Demczuk2016,2010.0,,Pharynx,North America,Canada,Alberta,4,0.008,,LOF,Intact,Intact,No
SRR2736181,SRR2736181,Demczuk2016,2010.0,,Urethra,North America,Canada,Alberta,4,0.004,,Inducible,Intact,Intact,Yes
SRR2736182,SRR2736182,Demczuk2016,2010.0,,Cervix,North America,Canada,Alberta,4,0.004,,LOF,Intact,Intact,No
SRR2736183,SRR2736183,Demczuk2016,2010.0,,Cervix,North America,Canada,Alberta,4,0.008,,LOF,Intact,Intact,No
SRR2736188,SRR2736188,Demczuk2016,2010.0,,Urethra,North America,Canada,Quebec,8,0.004,,Inducible,Intact,Intact,Yes
SRR2736189,SRR2736189,Demczuk2016,2010.0,,Urethra,North America,Canada,Quebec,8,0.004,,Inducible,Intact,Intact,Yes
SRR2736190,SRR2736190,Demczuk2016,2010.0,,Pharynx,North America,Canada,Quebec,8,0.004,,Inducible,Intact,Intact,Yes
